A	B	DRB1	freq
1	57	0806	0.000002
1	57	0901	0.000033
1	57	1001	0.000068
1	57	1101	0.000342
1	57	1102	0.00001
1	57	1103	0.000034
1	57	1104	0.000326
1	57	1108	0.000001
1	57	1111	0
1	57	1115	0.000002
1	57	1116	0.000001
1	57	1131	0.000001
1	57	1201	0.000091
1	57	1202	0
1	57	1301	0.00108
1	57	1302	0.000151
1	57	1303	0.000197
1	57	1304	0
1	57	1305	0.001511
1	57	1310	0.000001
1	57	1311	0.000001
1	57	1312	0.000001
1	57	1322	0.000001
1	57	1401	0.000163
1	57	1402	0.000001
1	57	1403	0
1	57	1404	0.000013
1	57	1406	0
1	57	1407	0.000004
1	57	1408	0.000001
1	57	1409	0
1	57	1410	0
1	57	1415	0
1	57	1428	0
1	57	1501	0.000746
1	57	1502	0.000035
1	57	1503	0.000019
1	57	1506	0
1	57	1601	0.00006
1	57	1602	0.000022
1	58	0101	0.000017
1	58	0102	0.000011
1	58	0103	0.000001
1	58	0104	0
1	58	0301	0.000122
1	58	0302	0
1	58	0401	0.000008
1	58	0402	0.000064
1	58	0403	0.000029
1	58	0404	0.000028
1	58	0405	0.00001
1	58	0406	0.000001
1	58	0407	0.000003
1	58	0408	0.000007
1	58	0414	0
1	58	0701	0.000791
1	58	0801	0.000003
1	58	0802	0
1	58	0803	0
1	58	0804	0.000102
1	58	0901	0
1	58	1001	0.000009
1	58	1101	0.00002
1	58	1102	0.000001
1	58	1103	0.000002
1	58	1104	0.00004
1	58	1111	0.000001
1	58	1201	0.000007
1	58	1202	0
